operon	transcription_factor	regulation_type
acrAB	acrR	repressor
ada_alkB	ada_alkB	dual
aidB	ada_alkB	activator
alkA	ada_alkB	activator
adiA	adiA_adiY	activator
slp	alpA	activator
appCBA	appY	activator
araBAD	araC	dual
araC	araC	repressor
araE	araC	dual
araFG_araH_1H_2	araC	dual
araJ	araC	activator
aceBAK	arcA	repressor
appCBA	arcA	activator
appY	arcA	activator
betIBA	arcA	repressor
cydAB	arcA	activator
cyoABCDE	arcA	repressor
dctA	arcA	repressor
fadBA	arcA	repressor
focA_pflB	arcA	activator
fumA	arcA	repressor
fumC	arcA	repressor
glcDEFGB	arcA	repressor
glpACB	arcA	repressor
gltA	arcA	repressor
icdA	arcA	repressor
lctPRD	arcA	repressor
mdh	arcA	repressor
nuoABCEFGHIJKLMN	arcA	repressor
sdhCDAB_b0725_sucABCD	arcA	repressor
sodA	arcA	repressor
argCBH	argR	repressor
argD	argR	repressor
argE	argR	repressor
argF	argR	repressor
argI	argR	repressor
argR	argR	repressor
carAB	argR	repressor
arsEFG	arsR	repressor
asnA	asnC	activator
asnC	asnC	repressor
atoDAB	atoC	activator
atoDAE	atoC	activator
betIBA	betIBA	repressor
betT	betIBA	repressor
bioA	birA_murA	repressor
bioBFCD	birA_murA	repressor
cadBA	cadC	activator
caiTABCDE	caiF	activator
fixABCX	caiF	activator
ssuEADCB	cbl	activator
tauABCD	cbl	activator
cpxAR	cpxAR	activator
cpxP	cpxAR	activator
dsbA	cpxAR	activator
ecfI	cpxAR	activator
htrA	cpxAR	activator
motABcheAW	cpxAR	repressor
rotA	cpxAR	activator
skp_lpxDA_fabZ	cpxAR	activator
tsr	cpxAR	repressor
xprB_dsbC_recJ	cpxAR	activator
acs	crp	activator
aldB	crp	activator
ansB	crp	activator
araBAD	crp	activator
araC	crp	activator
araE	crp	activator
araFG_araH_1H_2	crp	activator
araJ	crp	activator
caiF	crp	activator
caiTABCDE	crp	activator
cirA	crp	activator
cpdB	crp	activator
crp	crp	dual
cyaA	crp	repressor
dadAX	crp	activator
dctA	crp	repressor
dcuB_fumB	crp	repressor
deoCABD	crp	dual
dsdXA	crp	activator
ebgAC	crp	activator
epd_pgk	crp	activator
fadL	crp	repressor
fixABCX	crp	activator
flhDC	crp	activator
focA_pflB	crp	activator
fucAO	crp	activator
fucPIKUR	crp	activator
fur	crp	activator
galETKM	crp	dual
galS	crp	activator
glgCAP	crp	activator
glgS	crp	activator
glnALG	crp	activator
glpACB	crp	activator
glpD	crp	activator
glpFK	crp	activator
glpTQ	crp	activator
gltA	crp	activator
gntKU	crp	activator
gntT	crp	activator
ivbL_ilvBN	crp	activator
lacZYA	crp	activator
malEFG	crp	activator
malI	crp	repressor
malK_lamB_malM	crp	activator
malS	crp	activator
malT	crp	activator
malXY	crp	dual
manXYZ	crp	activator
melAB	crp	activator
melR	crp	activator
mglBAC	crp	activator
nagBACD	crp	activator
nagE	crp	activator
nupG	crp	dual
ompA	crp	repressor
ppiA	crp	dual
proP	crp	dual
ptsHI_crr	crp	dual
rhaBAD	crp	dual
rhaT	crp	activator
rpoH	crp	dual
sdhCDAB_b0725_sucABCD	crp	activator
speC	crp	repressor
srlAEBD_gutM_srlR_gutQ	crp	activator
tdcABCDEFG	crp	activator
tnaLAB	crp	activator
tsx	crp	dual
ubiG	crp	activator
udp	crp	activator
uhpT	crp	activator
yhfA	crp	dual
yiaKLMNOPQRS	crp	activator
csgBA	csgDEFG	activator
csgDEFG	csgDEFG	activator
gyrA	cspA	activator
hns	cspA	activator
cynR	cynR	repressor
cynTSX	cynR	activator
cysB	cysB	repressor
cysDNC	cysB	activator
cysJIH	cysB	activator
cysK	cysB	activator
